Log for:/Users/brloureiro/dev-projects/webpage_new/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=# Syncrun started 2022-12-21T06:23:14Z
#=#=#=# Syncrun finished 2022-12-21T06:23:14Z (last step: 16 msec , total: 16 msec) 
#=#=#=# Syncrun started 2022-12-21T08:57:33Z
#=#=#=# Syncrun finished 2022-12-21T08:57:33Z (last step: 12 msec , total: 12 msec) 
#=#=#=# Syncrun started 2022-12-22T00:40:42Z
#=#=#=# Syncrun finished 2022-12-22T00:40:42Z (last step: 5 msec , total: 5 msec) 
#=#=#=# Syncrun started 2022-12-22T20:48:43Z
#=#=#=#=# Propagation starts 2022-12-22T20:48:45Z (last step: 1975 msec , total: 1975 msec) 
2022-12-22T20:49:03Z | _news/arxiv_icml.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | e2fc89adacc80d92bf22d2d3d0cd6151 | 806 | 2866002230ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | f04c86f4-8834-4d70-b41d-1c02ee05298a | 
2022-12-22T20:49:02Z | _news/announcement_2.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 35ee0c5239499bc06b7bcc066711e237 | 2179 | 2866002262ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 2b0370b3-0066-41cd-b8d9-d114a5fef183 | 
2022-12-22T20:49:04Z | _news/arxiv_universality.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663580441 | 8a753cad7713c03b48b03d4a54efa192 | 492 | 2866002246ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | cf4c0c91-65cd-41fb-b46f-d164b809785d | 
2022-12-22T20:49:04Z | _news/deephmm_arxiv.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | b3b10606ccc7a17d6965a164f4f64985 | 244 | 2866002270ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 816d662b-fede-4d23-b588-4988f460d325 | 
2022-12-22T20:49:05Z | _news/g3m_arxiv.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 3683c3c0db2830e26ca914efacbd9193 | 257 | 2866002302ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 5d5e47b8-6f94-49c3-9f2a-f2cfa5e3aa7d | 
2022-12-22T20:49:07Z | _news/icml.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 261511e9aebf6a44d1b1ddfa2d696160 | 407 | 2866002342ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 4bada87f-8ac5-49c4-96a0-9176e6fd8f81 | 
2022-12-22T20:49:06Z | _news/generalisation_arxiv.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 186a0d3d1993e253dfd02202735c1c5a | 240 | 2866002334ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 6472c6a7-caeb-4755-a448-16a94d609658 | 
2022-12-22T20:49:06Z | _news/generalisation_deepmath.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 55a973850ccde67db02d7723b05c47cc | 302 | 2866002350ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 2f6480a3-5a06-4200-95aa-97da6cd42a0f | 
2022-12-22T20:49:07Z | _news/icml22.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | bb6bded54b79abd15ac371a1c3530ff0 | 375 | 2866002366ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | c74deaec-336b-4c62-8cd7-b05fe5a6a2b6 | 
2022-12-22T20:49:08Z | _news/mix.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 43abff11e684bc3477da0dfaa65e03c7 | 247 | 2866002370ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | b0206f1f-9c99-41b0-9428-25b1b740f355 | 
2022-12-22T20:49:10Z | _news/msml.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | c58acf32d829e45afb05350cd6518bfa | 428 | 2866002434ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 0698cbc4-ed9c-4019-917d-739d71e7412e | 
2022-12-22T20:49:07Z | _news/kernels.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 90d09b25e286c805096319271a191b94 | 247 | 2866002406ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 01e21c06-01da-4174-a087-5e10c082fa8f | 
2022-12-22T20:49:10Z | _news/msml21.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1663501144 | 04c3aab0039147ec28e2bc79abccdc35 | 413 | 2866002442ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 182899d4-695f-41c7-8f84-8c3bf2bde637 | 
2022-12-22T20:49:11Z | _news/neurips2022.md | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1665504052 | a52d7be6d0df3afee9267d4a8d0353aa | 438 | 2866002462ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 822b3894-0d7f-4d6d-882a-beb293673608 | 
